genre,within_genre_f1,cross_genre_f1_mean,f1_generalization_gap
indie-pop,0.45588235294117646,0.38663743170275006,0.0692449212384264
j-dance,0.4817001180637544,0.41496672824179126,0.06673338982196314
romance,0.47374847374847373,0.40712465686972843,0.0666238168787453
sertanejo,0.44197952218430037,0.3760384064750174,0.06594111570928296
goth,0.4382775119617225,0.3738922210151588,0.0643852909465637
techno,0.4464993394980185,0.3833277468109725,0.06317159268704603
edm,0.44025157232704404,0.3792459561682848,0.06100561615875921
punk,0.432258064516129,0.3717820056517709,0.06047605886435814
happy,0.45897435897435895,0.4012430977292626,0.057731261245096366
grunge,0.43668993020937186,0.3822889025136407,0.05440102769573113
reggae,0.45667125171939477,0.40406102086965157,0.0526102308497432
heavy-metal,0.43599493029150826,0.38383629140868186,0.0521586388828264
alt-rock,0.43584521384928715,0.38412402098245335,0.0517211928668338
metal,0.44282238442822386,0.39318875296749517,0.04963363146072869
house,0.4372177055103884,0.3880505029791728,0.04916720253121559
hip-hop,0.451271186440678,0.40405388045888596,0.047217305981792024
electronic,0.432296047098402,0.38530166677942546,0.04699438031897657
anime,0.4182041820418204,0.3721300771796912,0.046074104862129206
bluegrass,0.4566929133858268,0.4116101438326562,0.04508276955317059
forro,0.4527402700555997,0.40845475692078503,0.04428551313481466
german,0.43947858472998136,0.40223392536513913,0.037244659364842225
malay,0.443859649122807,0.41134276397787184,0.03251688514493517
dance,0.43373493975903615,0.4033967853611022,0.03033815439793397
black-metal,0.4449489216799092,0.41488269763287483,0.03006622404703435
minimal-techno,0.44815256257449343,0.4186007390035449,0.029551823570948543
grindcore,0.439873417721519,0.41170623710830034,0.028167180613218656
trip-hop,0.44149377593360994,0.4157347225476975,0.025759053385912445
power-pop,0.4312431243124312,0.40557475259218156,0.02566837172024966
opera,0.43453237410071943,0.4121335895844186,0.02239878451630084
electro,0.4297253634894992,0.40756803306525907,0.022157330424240118
ska,0.43539545810493346,0.4140932568297305,0.021302201275202937
turkish,0.43993759750390016,0.41867501518013145,0.02126258232376871
ambient,0.4301255230125523,0.4093816872463887,0.02074383576616362
latino,0.4106813996316759,0.3902959202974728,0.020385479334203094
detroit-techno,0.4373522458628842,0.417532014696485,0.019820231166399194
punk-rock,0.43033509700176364,0.4114444743244833,0.018890622677280366
afrobeat,0.4328485885372113,0.4179990903404999,0.014849498196711386
synth-pop,0.4068669527896996,0.39241474656538256,0.014452206224317032
idm,0.42741208295761945,0.4144649778821521,0.012947105075467369
honky-tonk,0.4245614035087719,0.41166782824652653,0.012893575262245383
country,0.42931034482758623,0.41646112348347736,0.012849221344108874
dancehall,0.4218600191754554,0.40946113886865393,0.012398880306801474
chicago-house,0.42857142857142855,0.4188881774110892,0.009683251160339357
reggaeton,0.4072948328267477,0.39911586053018094,0.008178972296566778
party,0.4156769596199525,0.4106440133191997,0.005032946300752794
songwriter,0.41527001862197394,0.415231742653097,3.827596887695517e-05
j-idol,0.41373801916932906,0.41812138107575647,-0.004383361906427408
brazil,0.41346153846153844,0.4184510078680399,-0.004989469406501468
singer-songwriter,0.41222707423580784,0.41736164139686627,-0.005134567161058423
salsa,0.40298507462686567,0.41309315876915775,-0.010108084142292084
